category	studyA	studyB	run_pairs	nameA	nameB	centerA	centerB	stat_verdict	note
MISATTR_UNADJ	PRJNA72625	PRJNA80145	1	Gossypium arboreum	Gossypium barbadense	Alabama A&M University	UOKNOR	species-level reads support neither	Gossypium arboreum vs G. barbadense; read-identical (confirmed); no cotton reference in STAT
MISATTR_UNADJ	PRJNA282184	PRJNA282185	1	Solanum lycopersicum	Solanum habrochaites	College of Life Science, Northeast Agricultural Un	College of Life Science, Northeast Agricultural Un	species-level reads support A only	Solanum lycopersicum vs S. habrochaites; STAT ambiguous (S. pennellii 11%, lycopersicum 9%)
MISATTR_UNADJ	PRJNA310178	PRJNA310407	1	Acidobacterium capsulatum	Segatella albensis			species-level reads support neither	Acidobacterium capsulatum vs Segatella albensis; STAT resolves neither
MISATTR_UNADJ	PRJNA281676	PRJNA315910	1	Synodontis nigriventris	Synodontis eupterus	southwest university		species-level reads support neither	Synodontis nigriventris vs S. eupterus (catfish)
MISATTR_UNADJ	PRJNA392566	PRJNA392571	1	Lactarius sp. orange rll-107	Lactifluus echinatus	Kunming University of Science and Technology	Kunming University of Science and Technology	species-level reads support neither	Lactarius sp. vs Lactifluus echinatus (fungi)
MISATTR_UNADJ	PRJNA408223	PRJNA413737	1	Actinidia arguta	Actinidia chinensis	Chinese academy of agricultural sciences	bmk	species-level reads support neither	Actinidia arguta vs A. chinensis (kiwifruit)
MISATTR_UNADJ	PRJNA295128	PRJNA298670	1	Dendrobium densiflorum	Eulophia picta	University of North Bengal		species-level reads support neither	Dendrobium densiflorum vs Eulophia picta (orchids)
MIXTURE	PRJNA207831	PRJNA207832	1	Escherichia coli O157:H7 str. EDL933	Listeria monocytogenes serotype 4b str. NCTC 11994	National Institute of Standards and Technology	National Institute of Standards and Technology	species-level reads support A only	NIST CCQM reference run: STAT Listeria 19% + E. coli 10%; filed under each organism
MIXTURE	PRJNA49437	PRJNA51081	1	Finegoldia magna SY403409CC001050417	Peptoniphilus sp. oral taxon 836 str. F0141	JCVI	JCVI	species-level reads support both (mixture)	JCVI 454 pool: Finegoldia 30% + S. mitis 16% (+Peptoniphilus); filed under each of 3 organisms
MIXTURE	PRJNA49439	PRJNA51081	1	Finegoldia magna SY403409CC001050417	Streptococcus mitis bv. 2 str. F0392	JCVI	JCVI	species-level reads support both (mixture)	as above
MIXTURE	PRJNA49437	PRJNA49439	1	Peptoniphilus sp. oral taxon 836 str. F0141	Streptococcus mitis bv. 2 str. F0392	JCVI	JCVI	species-level reads support both (mixture)	as above
MIXTURE	PRJNA49443	PRJNA49619	1	Ligilactobacillus salivarius ACS-116-V-Col5a	Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	JCVI	JCVI	species-level reads support B only	JCVI: L. delbrueckii 57% + L. salivarius 21% (STAT uses pre-2020 genus name)
PLACEHOLDER	PRJEB10578	PRJEB10590	23	Bacteria aborigena	Bacteria ambigua	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	species-level reads support neither	'Bacteria aborigena' vs 'Bacteria ambigua' — provisional culturomics names, one submitter
PLACEHOLDER	PRJEB10590	PRJEB7053	23	Bacteria aborigena	Bacteria ambigua	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	species-level reads support neither	as above
PLACEHOLDER	PRJEB10590	PRJEB9815	18	Bacteria aborigena	Bacteria ambigua	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	species-level reads support neither	as above
PLACEHOLDER	PRJEB20096	PRJEB7053	16	Bacteria aetolus	Bacteria aborigena	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS;Faculte de Medecine;Universite de la Mediterranee;Marseille;France;URMITE	species-level reads support neither	'Bacteria aetolus' vs 'Bacteria aborigena' — as above
PLACEHOLDER	PRJNA381824	PRJNA412964	9	Chryseolinea	Luedemannella	SUB3054666	SUB3100896	untestable (no species-level claim on either side)	genus-only labels Chryseolinea vs Luedemannella; STAT resolves neither
PLACEHOLDER	PRJEB9004	PRJEB9031	5	uncultured archaeon	uncultured bacterium	VTT Technical Research Centre of Finland;VTT	VTT Technical Research Centre of Finland;VTT	untestable (no species-level claim on either side)	uncultured archaeon vs uncultured bacterium (VTT; same amplicon file per primer target)
PLACEHOLDER	PRJEB18457	PRJEB21687	5	uncultured bacterium	uncultured archaeon	VTT Technical Research Centre of Finland;VTT	VTT Technical Research Centre of Finland;VTT	untestable (no species-level claim on either side)	uncultured bacterium vs uncultured archaeon (VTT)
PLACEHOLDER	PRJEB9004	PRJEB9160	3	uncultured archaeon	uncultured bacterium	VTT Technical Research Centre of Finland;VTT	VTT Technical Research Centre of Finland;VTT	untestable (no species-level claim on either side)	uncultured archaeon vs uncultured bacterium (VTT)
PLACEHOLDER	PRJEB9004	PRJEB9112	2	uncultured archaeon	uncultured fungus	VTT Technical Research Centre of Finland;VTT	VTT Technical Research Centre of Finland;VTT	untestable (no species-level claim on either side)	uncultured archaeon vs uncultured fungus (VTT); STAT: Sarocladium 77%
PLACEHOLDER	PRJEB6874	PRJEB9004	1	uncultured methanogenic archaeon	uncultured archaeon	VTT Technical Research Centre of Finland;VTT	VTT Technical Research Centre of Finland;VTT	untestable (no species-level claim on either side)	uncultured methanogenic archaeon vs uncultured archaeon (VTT)
PLACEHOLDER	PRJNA342241	PRJNA342756	1	Rinodina archaea	Steroidobacter		novogene	species-level reads support neither	lichen Rinodina archaea vs Steroidobacter (lichen-associated bacterium); STAT: mostly unassigned
REFINEMENT	PRJEB15463	PRJEB27847	61	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	FORSCHUNGSZENTRUM BORSTEL;FZB	Institute of tropical medicine	species-level reads support B only	M. tuberculosis vs M. tuberculosis complex sp.
REFINEMENT	PRJEB11460	PRJEB9680	40	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	UNIVERSITY OF BASEL	FORSCHUNGSZENTRUM BORSTEL;FZB	species-level reads support A only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJEB11460	PRJEB15463	30	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	UNIVERSITY OF BASEL	FORSCHUNGSZENTRUM BORSTEL;FZB	species-level reads support A only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJEB11460	PRJEB6273	15	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	UNIVERSITY OF BASEL	FORSCHUNGSZENTRUM BORSTEL;FZB	species-level reads support A only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJEB11460	PRJEB9545	11	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	UNIVERSITY OF BASEL	FORSCHUNGSZENTRUM BORSTEL;FZB	species-level reads support A only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJEB11460	PRJEB7727	9	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	UNIVERSITY OF BASEL	FORSCHUNGSZENTRUM BORSTEL;FZB	species-level reads support A only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJNA300644	PRJNA433223	9	Saccharum officinarum	Saccharum hybrid cultivar		SUB3611343	species-level reads support neither	Saccharum officinarum vs Saccharum hybrid cultivar
REFINEMENT	PRJEB22358	PRJNA302362	6	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	FORSCHUNGSZENTRUM BORSTEL;FZB		species-level reads support B only	M. tuberculosis vs MTBC sp.
REFINEMENT	PRJNA12857	PRJNA74629	6	Sterkiella histriomuscorum	Oxytricha trifallax	WUGSC	WUGSC	species-level reads support neither	Oxytricha trifallax = Sterkiella histriomuscorum (synonym)
REFINEMENT	PRJNA486431	PRJNA510231	2	Colon	Homo sapiens	SUB4409403	SUB4924610	species-level reads support B only	'Colon' (tissue placeholder) vs Homo sapiens; STAT: human
REFINEMENT	PRJEB11563	PRJEB12660	1	Bos indicus	Bos taurus	NDDB	Banaras Hindu University Varanasi;U.P.;India;AAU;India	species-level reads support neither	Bos indicus vs Bos taurus — subspecies-level in common usage; microbiome amplicon
REFINEMENT	PRJEB11576	PRJEB12660	1	Bos indicus gudali	Bos taurus	Banaras Hindu University Varanasi;U.P.;India;AAU;India	Banaras Hindu University Varanasi;U.P.;India;AAU;India	species-level reads support neither	Bos indicus gudali vs Bos taurus — as above
REFINEMENT	PRJEB14646	PRJNA326914	1	Chryseobacterium sp. 113(2015)	Chryseobacterium sp. CBo1	UNIVERISTY OF LIVERPOOL,		species-level reads support neither	Chryseobacterium sp. 113 vs sp. CBo1 — strain-level, both unnamed
REFINEMENT	PRJNA545208	PRJNA545783	1	Bambusa pervariabilis	Bambusa pervariabilis x Bambusa grandis	SUB5699361	SUB5681156	species-level reads support neither	Bambusa pervariabilis vs its hybrid
